
2024/08/27 (15:09:55) | ===> btop++ v.1.3.2
2024/08/27 (15:09:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/27 (19:31:28) | ===> btop++ v.1.3.2
2024/08/27 (19:31:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/27 (19:55:34) | ===> btop++ v.1.3.2
2024/08/27 (19:55:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/27 (19:56:28) | ===> btop++ v.1.3.2
2024/08/27 (19:56:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/27 (23:44:44) | ===> btop++ v.1.3.2
2024/08/27 (23:44:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (00:23:59) | ===> btop++ v.1.3.2
2024/08/28 (00:23:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (09:07:01) | ===> btop++ v.1.3.2
2024/08/28 (09:07:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (13:56:33) | ===> btop++ v.1.3.2
2024/08/28 (13:56:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (13:56:35) | ===> btop++ v.1.3.2
2024/08/28 (13:56:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (16:55:20) | ===> btop++ v.1.3.2
2024/08/28 (16:55:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (16:55:21) | ===> btop++ v.1.3.2
2024/08/28 (16:55:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (16:59:51) | ===> btop++ v.1.3.2
2024/08/28 (16:59:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/29 (10:22:55) | ===> btop++ v.1.3.2
2024/08/29 (10:22:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/30 (12:38:17) | ===> btop++ v.1.3.2
2024/08/30 (12:38:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/02 (16:18:11) | ===> btop++ v.1.3.2
2024/09/02 (16:18:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/02 (16:18:20) | ===> btop++ v.1.3.2
2024/09/02 (16:18:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/02 (19:30:33) | ===> btop++ v.1.3.2
2024/09/02 (19:30:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/02 (19:30:35) | ===> btop++ v.1.3.2
2024/09/02 (19:30:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/03 (00:11:10) | ===> btop++ v.1.3.2
2024/09/03 (00:11:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/10 (12:29:46) | ===> btop++ v.1.3.2
2024/09/10 (12:29:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (11:29:18) | ===> btop++ v.1.3.2
2024/09/23 (11:29:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (11:29:19) | ===> btop++ v.1.3.2
2024/09/23 (11:29:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (14:43:22) | ===> btop++ v.1.4.0
2024/09/23 (14:43:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/23 (14:43:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (11:24:08) | ===> btop++ v.1.4.0
2024/09/24 (11:24:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/24 (11:24:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (18:12:25) | ===> btop++ v.1.4.0
2024/09/26 (18:12:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/26 (18:12:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (14:19:39) | ===> btop++ v.1.4.0
2024/10/03 (14:19:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (14:19:39) | WARNING: Intel GPU: Failed to initialize PMU
